Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
Community Health System,ID,Healthcare Provider,28128,09/06/2015,05/18/2015,Hacking/IT Incident,Paper/Films,Archived,2015,111
HealthVault Systems,MN,Business Associate,1020,11/10/2015,09/03/2015,Other,Network Server,Archived,2015,68
Pinnacle Family Practice,TN,Healthcare Provider,671,01/12/2016,11/06/2015,Unauthorized Access/Disclosure,Email,Archived,2015,67
Beacon Surgical Center,ND,Healthcare Provider,660,02/09/2016,09/20/2015,Improper Disposal,Network Server,Archived,2015,142
United Family Practice,NM,Healthcare Provider,500,06/15/2015,04/24/2015,Hacking/IT Incident,Network Server,Archived,2015,52
Horizon Clinical Associates,RI,Healthcare Provider,9988,02/15/2016,09/13/2015,Theft,Email,Archived,2015,155
UnitedHealth Group,SC,Health Plan,8188,10/21/2015,08/24/2015,Hacking/IT Incident,Email,Archived,2015,58
UnitedHealth Group,OR,Health Plan,1122,03/07/2015,02/08/2015,Loss,Network Server,Archived,2015,27
Beacon Urgent Care,HI,Healthcare Provider,3606,05/09/2016,11/13/2015,Hacking/IT Incident,Email,Archived,2015,178
ClinicalPath Software,TX,Business Associate,500,10/20/2015,05/21/2015,Loss,Electronic Medical Record,Archived,2015,152
Anthem Blue Cross,MO,Health Plan,4081,12/15/2015,09/27/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,79
Community Health System,IL,Healthcare Provider,925,03/04/2016,12/23/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,72
Horizon Health Network,OK,Healthcare Provider,3436,02/22/2016,12/26/2015,Other,Other,Archived,2015,58
HealthBridge IT Services,RI,Business Associate,9518,06/14/2015,05/19/2015,Hacking/IT Incident,Email,Archived,2015,26
MedBridge Analytics,WV,Business Associate,825,06/30/2015,06/11/2015,Theft,Electronic Medical Record,Archived,2015,19
Horizon Mental Health Services,LA,Healthcare Provider,1187,08/31/2015,03/25/2015,Theft,Network Server,Archived,2015,159
Horizon Mental Health Services,PA,Healthcare Provider,5401,03/09/2015,01/28/2015,Other,Network Server,Archived,2015,40
Integrated Dental Group,NM,Healthcare Provider,807,01/06/2016,08/19/2015,Hacking/IT Incident,Email,Archived,2015,140
Good Samaritan Health Services,IL,Healthcare Provider,500,08/18/2015,06/01/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,78
Liberty Rehabilitation Center,WI,Healthcare Provider,500,08/15/2015,07/04/2015,Theft,Network Server,Archived,2015,42
Regional Health System,OH,Healthcare Provider,1593,03/18/2016,10/13/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,157
Central Pharmacy,LA,Healthcare Provider,1370,08/04/2015,07/17/2015,Improper Disposal,Other,Archived,2015,18
Good Samaritan Urgent Care,WI,Healthcare Provider,1639,09/10/2015,07/14/2015,Hacking/IT Incident,Network Server,Archived,2015,58
Harmony Physicians Group,TN,Healthcare Provider,500,05/27/2015,02/09/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,107
Centene Corp,MN,Health Plan,782,03/05/2016,11/14/2015,Hacking/IT Incident,Paper/Films,Archived,2015,112
Alliance Surgical Center,VA,Healthcare Provider,4569,02/26/2016,12/22/2015,Hacking/IT Incident,Electronic Medical Record,Archived,2015,66
Alliance Rehabilitation Center,DC,Healthcare Provider,9861,08/11/2015,05/05/2015,Hacking/IT Incident,Email,Archived,2015,98
Guardian Physicians Group,ND,Healthcare Provider,17001,05/19/2016,12/16/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,155
Mercy Clinical Associates,WI,Healthcare Provider,2448,12/18/2015,07/29/2015,Theft,Electronic Medical Record,Archived,2015,142
Legacy Dental Group,KS,Healthcare Provider,500,03/19/2016,11/03/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,137
Valley Health Plan,IL,Healthcare Provider,1629,03/17/2016,10/02/2015,Theft,Network Server,Archived,2015,167
Horizon Dental Group,VT,Healthcare Provider,500,05/25/2016,11/27/2015,Hacking/IT Incident,Network Server,Archived,2015,180
Liberty Rehabilitation Center,MA,Healthcare Provider,1730,03/24/2016,10/13/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,163
United Health System,MD,Healthcare Provider,823,07/17/2015,06/26/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,21
Beacon Healthcare,SC,Healthcare Provider,563,10/28/2015,08/22/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,67
Valley Medical Group,MN,Healthcare Provider,1202,02/12/2016,12/30/2015,Improper Disposal,Electronic Medical Record,Archived,2015,44
Providence Mental Health Services,UT,Healthcare Provider,2142,11/24/2015,06/19/2015,Theft,Network Server,Archived,2015,158
Integrated Hospital,OK,Healthcare Provider,32686,01/15/2016,11/11/2015,Theft,Network Server,Archived,2015,65
Pacific Rehabilitation Center,KS,Healthcare Provider,6396,07/14/2015,02/02/2015,Hacking/IT Incident,Email,Archived,2015,162
Mountain Rehabilitation Center,WV,Healthcare Provider,500,02/24/2016,11/02/2015,Unauthorized Access/Disclosure,Email,Archived,2015,114
Lakeside Surgical Center,RI,Healthcare Provider,500,11/21/2015,06/02/2015,Hacking/IT Incident,Network Server,Archived,2015,172
Integrated Dental Group,NC,Healthcare Provider,31916,01/11/2016,09/19/2015,Hacking/IT Incident,Email,Archived,2015,114
Lakeside Medical Group,MD,Healthcare Provider,500,09/03/2015,03/30/2015,Hacking/IT Incident,Email,Archived,2015,157
Legacy Urgent Care,LA,Healthcare Provider,2899,05/24/2015,01/05/2015,Unauthorized Access/Disclosure,Email,Archived,2015,139
Providence Family Practice,DC,Healthcare Provider,500,05/02/2015,03/27/2015,Hacking/IT Incident,Network Server,Archived,2015,36
Mountain Clinical Associates,GA,Healthcare Provider,500,03/06/2016,10/17/2015,Theft,Paper/Films,Archived,2015,141
Valley Health Plan,OK,Healthcare Provider,3771,05/29/2015,01/22/2015,Hacking/IT Incident,Other,Archived,2015,127
VitalConnect Inc,GA,Business Associate,7839,06/21/2015,02/14/2015,Loss,Network Server,Archived,2015,127
Lakeside Physicians Group,NJ,Healthcare Provider,1612,06/18/2016,12/30/2015,Loss,Paper/Films,Archived,2015,171
Sacred Heart Family Practice,SD,Healthcare Provider,1590,04/02/2016,11/02/2015,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2015,152
MedData Services,DC,Business Associate,3235,04/08/2015,02/18/2015,Improper Disposal,Other,Archived,2015,49
Mercy Mental Health Services,CO,Healthcare Provider,500,05/26/2015,03/09/2015,Unauthorized Access/Disclosure,Email,Archived,2015,78
Central Mental Health Services,WY,Healthcare Provider,6500,09/23/2015,08/20/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,34
Central Eye Care,WY,Healthcare Provider,5735,12/14/2015,09/07/2015,Theft,Electronic Medical Record,Archived,2015,98
Lakeside Health Network,NE,Healthcare Provider,500,09/10/2015,06/15/2015,Loss,Paper/Films,Archived,2015,87
Central Rehabilitation Center,IN,Healthcare Provider,11800,06/28/2015,05/21/2015,Theft,Email,Archived,2015,38
Heritage Urgent Care,CA,Healthcare Provider,5542,09/15/2015,08/08/2015,Hacking/IT Incident,Email,Archived,2015,38
UnitedHealth Group,OK,Health Plan,500,04/17/2015,01/05/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,102
Lakeside Health Services,VT,Healthcare Provider,7729,07/23/2015,06/03/2015,Hacking/IT Incident,Email,Archived,2015,50
United Eye Care,MI,Healthcare Provider,1594,09/06/2015,06/29/2015,Loss,Network Server,Archived,2015,69
Humana Health Plan,TN,Health Plan,2785,11/11/2015,08/08/2015,Theft,Network Server,Archived,2015,95
HealthBridge IT Services,MT,Business Associate,5594,06/16/2015,05/26/2015,Hacking/IT Incident,Email,Archived,2015,21
Mercy Urgent Care,DC,Healthcare Provider,1607,11/28/2015,06/01/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,180
MedData Services,NC,Business Associate,500,04/24/2015,01/07/2015,Loss,Email,Archived,2015,107
Memorial Clinical Associates,PA,Healthcare Provider,63393,10/02/2015,08/30/2015,Hacking/IT Incident,Other Portable Electronic Device,Archived,2015,33
United Dental Group,WY,Healthcare Provider,1401,11/18/2015,05/27/2015,Theft,Network Server,Archived,2015,175
Heritage Health Services,AR,Healthcare Provider,8852,06/28/2015,05/23/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,36
American Health Plan,DE,Healthcare Provider,3257,06/11/2016,12/15/2015,Hacking/IT Incident,Network Server,Archived,2015,179
Pacific Healthcare,AK,Healthcare Provider,1653,12/07/2015,11/08/2015,Hacking/IT Incident,Network Server,Archived,2015,29
Good Samaritan Healthcare,AK,Healthcare Provider,3247,07/09/2015,05/13/2015,Theft,Network Server,Archived,2015,57
University Urgent Care,NE,Healthcare Provider,1094,04/25/2015,02/02/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,82
Mountain Health Plan,OH,Healthcare Provider,500,09/01/2015,07/08/2015,Theft,Network Server,Archived,2015,55
ClinicalPath Software,NY,Business Associate,1838,05/17/2015,03/18/2015,Loss,Electronic Medical Record,Archived,2015,60
HealthVault Systems,CO,Business Associate,500,09/06/2015,05/08/2015,Loss,Email,Archived,2015,121
Anthem Blue Cross,NY,Health Plan,500,06/12/2016,04/01/2016,Hacking/IT Incident,Email,Archived,2016,72
Advanced Physicians Group,CA,Healthcare Provider,14548,07/23/2016,06/16/2016,Hacking/IT Incident,Paper/Films,Archived,2016,37
VitalConnect Inc,WY,Business Associate,16057,12/20/2016,07/07/2016,Hacking/IT Incident,Laptop,Archived,2016,166
Premier Hospital,KS,Healthcare Provider,16007,05/02/2016,01/04/2016,Other,Network Server,Archived,2016,119
United Urgent Care,TN,Healthcare Provider,500,07/17/2016,06/06/2016,Other,Other,Archived,2016,41
MedData Services,MS,Business Associate,1493,04/06/2016,01/23/2016,Theft,Network Server,Archived,2016,74
Alliance Surgical Center,CO,Healthcare Provider,788,05/21/2016,03/07/2016,Hacking/IT Incident,Network Server,Archived,2016,75
Liberty Eye Care,NJ,Healthcare Provider,591,12/07/2016,10/26/2016,Hacking/IT Incident,Network Server,Archived,2016,42
Central Medical Group,GA,Healthcare Provider,4137,11/20/2016,08/19/2016,Loss,Network Server,Archived,2016,93
Mercy Rehabilitation Center,SD,Healthcare Provider,500,07/27/2016,04/20/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,98
ClinicalPath Software,CT,Business Associate,666,04/21/2016,03/30/2016,Theft,Network Server,Archived,2016,22
Providence Health Services,WY,Healthcare Provider,500,04/27/2016,03/12/2016,Hacking/IT Incident,Network Server,Archived,2016,46
Liberty Healthcare Clearinghouse,WA,Healthcare Clearinghouse,587,02/28/2016,02/08/2016,Loss,Network Server,Archived,2016,20
Pacific Rehabilitation Center,OK,Healthcare Provider,1425,10/03/2016,09/11/2016,Hacking/IT Incident,Network Server,Archived,2016,22
Good Samaritan Mental Health Services,IL,Healthcare Provider,79476,12/31/2016,07/29/2016,Hacking/IT Incident,Network Server,Archived,2016,155
Kaiser Foundation,LA,Health Plan,500,04/21/2017,11/18/2016,Unauthorized Access/Disclosure,Paper/Films,Archived,2016,154
Pinnacle Health Plan,TX,Healthcare Provider,500,10/05/2016,06/13/2016,Hacking/IT Incident,Paper/Films,Archived,2016,114
Providence Medical Group,WV,Healthcare Provider,500,01/26/2017,08/29/2016,Hacking/IT Incident,Electronic Medical Record,Archived,2016,150
Premier Medical Group,LA,Healthcare Provider,158671,04/09/2016,01/29/2016,Hacking/IT Incident,Email,Archived,2016,71
Riverside Health Network,SC,Healthcare Provider,1250,11/20/2016,10/29/2016,Improper Disposal,Desktop Computer,Archived,2016,22
Providence Hospital,ID,Healthcare Provider,4216,02/27/2016,01/20/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,38
National Hospital,CO,Healthcare Provider,5664,06/17/2016,03/07/2016,Hacking/IT Incident,Electronic Medical Record,Archived,2016,102
Alliance Health Network,MT,Healthcare Provider,1118,05/27/2016,02/07/2016,Hacking/IT Incident,Network Server,Archived,2016,110
CarePoint Technologies,ME,Business Associate,17460,02/05/2017,08/11/2016,Hacking/IT Incident,Other,Archived,2016,178
Sacred Heart Health Services,ND,Healthcare Provider,24898,12/26/2016,10/28/2016,Hacking/IT Incident,Network Server,Archived,2016,59
Providence Health Network,CO,Healthcare Provider,2622,11/09/2016,10/17/2016,Hacking/IT Incident,Email,Archived,2016,23
Horizon Eye Care,IL,Healthcare Provider,13635,09/30/2016,06/26/2016,Hacking/IT Incident,Network Server,Archived,2016,96
United Medical Group,CT,Healthcare Provider,551,03/11/2016,02/25/2016,Loss,Email,Archived,2016,15
Cigna Healthcare,NE,Health Plan,26437,07/07/2016,02/21/2016,Hacking/IT Incident,Network Server,Archived,2016,137
CarePoint Technologies,PA,Business Associate,28488,09/01/2016,06/12/2016,Hacking/IT Incident,Network Server,Archived,2016,81
Beacon Hospital,HI,Healthcare Provider,1786,05/28/2016,02/17/2016,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2016,101
United Pharmacy,WA,Healthcare Provider,500,03/08/2016,01/28/2016,Theft,Electronic Medical Record,Archived,2016,40
Harmony Health Services,NE,Healthcare Provider,11224,06/09/2016,05/01/2016,Hacking/IT Incident,Network Server,Archived,2016,39
Sacred Heart Health System,NH,Healthcare Provider,4383,03/11/2016,02/19/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,21
Integrated Medical Group,KS,Healthcare Provider,888,02/24/2017,12/04/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,82
Valley Health System,VT,Healthcare Provider,500,10/23/2016,05/17/2016,Theft,Paper/Films,Archived,2016,159
Wellspring Dental Group,LA,Healthcare Provider,15183,09/29/2016,04/26/2016,Other,Electronic Medical Record,Archived,2016,156
Community Home Health,KY,Healthcare Provider,500,09/13/2016,04/30/2016,Unauthorized Access/Disclosure,Email,Archived,2016,136
BlueCross BlueShield of NC,NC,Health Plan,7891,06/03/2016,03/26/2016,Unauthorized Access/Disclosure,Other,Archived,2016,69
DataSync Health IT,PA,Business Associate,591,08/16/2016,05/12/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,96
WellCare Health Plans,HI,Health Plan,846,09/09/2016,08/22/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,18
Aetna Health Plan,OH,Health Plan,500,04/10/2017,10/28/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,164
Harmony Health Network,ME,Healthcare Provider,558,10/23/2016,06/25/2016,Theft,Network Server,Archived,2016,120
Mercy Medical Center,MN,Healthcare Provider,3539,03/04/2017,11/07/2016,Theft,Other Portable Electronic Device,Archived,2016,117
DataSync Health IT,RI,Business Associate,500,10/10/2016,05/23/2016,Other,Network Server,Archived,2016,140
Aetna Health Plan,ID,Health Plan,358904,09/04/2016,06/13/2016,Hacking/IT Incident,Network Server,Archived,2016,83
UnitedHealth Group,AR,Health Plan,1085,01/09/2017,09/21/2016,Hacking/IT Incident,Electronic Medical Record,Archived,2016,110
Atlantic Medical Center,WA,Healthcare Provider,500,03/04/2017,09/25/2016,Hacking/IT Incident,Email,Archived,2016,160
Regional Health Plan,GA,Healthcare Provider,1546,01/09/2017,09/15/2016,Unauthorized Access/Disclosure,Email,Archived,2016,116
Aetna Health Plan,DE,Health Plan,500,06/13/2016,03/24/2016,Hacking/IT Incident,Network Server,Archived,2016,81
Heritage Clinical Associates,RI,Healthcare Provider,2674,06/29/2016,04/19/2016,Theft,Email,Archived,2016,71
Providence Clinical Associates,CA,Healthcare Provider,7212,09/04/2016,03/08/2016,Theft,Other Portable Electronic Device,Archived,2016,180
RxTech Solutions,SC,Business Associate,156449,09/20/2016,05/20/2016,Hacking/IT Incident,Email,Archived,2016,123
Advanced Pharmacy,AR,Healthcare Provider,613,01/02/2017,07/22/2016,Theft,Email,Archived,2016,164
Pinnacle Healthcare Clearinghouse,NH,Healthcare Clearinghouse,596,05/13/2016,02/02/2016,Loss,Network Server,Archived,2016,101
Anthem Blue Cross,ID,Health Plan,5724,06/01/2016,05/03/2016,Theft,Electronic Medical Record,Archived,2016,29
MedData Services,KY,Business Associate,500,08/20/2016,05/31/2016,Theft,Email,Archived,2016,81
Premier Home Health,IA,Healthcare Provider,16717,05/17/2017,12/17/2016,Hacking/IT Incident,Network Server,Archived,2016,151
St. Mary's Pharmacy,AK,Healthcare Provider,2199,07/08/2016,05/30/2016,Theft,Network Server,Archived,2016,39
Trinity Dental Group,AK,Healthcare Provider,500,04/26/2016,02/15/2016,Theft,Network Server,Archived,2016,71
University Urgent Care,NH,Healthcare Provider,5061,07/14/2016,03/01/2016,Loss,Email,Archived,2016,135
Lakeside Physicians Group,MI,Healthcare Provider,2490,09/29/2016,06/01/2016,Hacking/IT Incident,Other,Archived,2016,120
Summit Health Network,WY,Healthcare Provider,2307,11/12/2016,08/19/2016,Theft,Email,Archived,2016,85
American Urgent Care,KY,Healthcare Provider,500,03/16/2017,11/10/2016,Unauthorized Access/Disclosure,Network Server,Archived,2016,126
Cigna Healthcare,MS,Health Plan,13847,04/14/2016,01/08/2016,Hacking/IT Incident,Network Server,Archived,2016,97
Legacy Health Network,LA,Healthcare Provider,3585,09/27/2016,06/25/2016,Hacking/IT Incident,Network Server,Archived,2016,94
Lakeside Surgical Center,RI,Healthcare Provider,2370,01/04/2017,09/25/2016,Other,Email,Archived,2016,101
Lakeside Physicians Group,ND,Healthcare Provider,500,08/13/2016,07/25/2016,Theft,Email,Archived,2016,19
St. Mary's Pharmacy,NH,Healthcare Provider,500,12/23/2016,11/29/2016,Theft,Email,Archived,2016,24
Riverside Physicians Group,DE,Healthcare Provider,500,08/06/2016,03/04/2016,Theft,Email,Archived,2016,155
Lakeside Dental Group,ID,Healthcare Provider,2075,05/02/2017,12/05/2016,Loss,Network Server,Archived,2016,148
Atlantic Clinical Associates,ID,Healthcare Provider,590,04/10/2016,02/28/2016,Loss,Other,Archived,2016,42
Beacon Surgical Center,AZ,Healthcare Provider,8126,04/17/2016,03/23/2016,Hacking/IT Incident,Network Server,Archived,2016,25
Valley Clinical Associates,ND,Healthcare Provider,500,07/10/2016,02/16/2016,Theft,Email,Archived,2016,145
Community Hospital,VT,Healthcare Provider,500,09/19/2016,08/06/2016,Loss,Electronic Medical Record,Archived,2016,44
Central Rehabilitation Center,ND,Healthcare Provider,500,02/02/2017,08/12/2016,Loss,Network Server,Archived,2016,174
